	match_id	match_seq_num	patch	start_time	duration	game_mode	first_blood_time	barracks_status_dire	barracks_status_radiant	tower_status_dire	tower_status_radiant	dire_score	radiant_score	radiant_win	league_id	league_name	radiant_team_id	radiant_team_name	dire_team_id	dire_team_name
0	5981286393	5011253584	48	1620296316	1602	2	265	59	63	1796	1983	11	23	True	12929	i-联赛	8204512.0	Elephant	6209166.0	Team Aster
1	5981262647	5011241669	48	1620295215	1417	2	171	51	63	1988	1983	4	23	True	13108	DPC 2021 Season 2 Upper League (SEA) presented by PGL	8360138.0	OB.Neon	8222896.0	Ωmega Esports
2	5981259364	5011250847	48	1620294908	2671	2	234	62	63	1792	1982	13	37	True	13117	ESL One DPC Eastern Europe Season 2 Lower Division	8352473.0	Fantastic Five	8360733.0	Trident Clan
3	5981243108	5011224404	48	1620293732	1982	2	248	2	63	1536	1982	12	33	True	12780	Moon Studio Asia 	8272008.0	Crocodile	2640025.0	iG.Vitality
4	5981217610	5011215202	48	1620292185	2777	2	318	59	11	1796	1536	21	18	False	12929	i-联赛	8204512.0	Elephant	6209166.0	Team Aster
5	5981188071	5011183161	48	1620290467	1919	2	166	59	63	1796	1975	15	37	True	12780	Moon Studio Asia 	8272008.0	Crocodile	2640025.0	iG.Vitality
6	5981165757	5011159361	48	1620288913	1427	2	205	15	63	1574	1974	5	22	True	12929	i-联赛	4.0	EHOME	5.0	INVICTUS GAMING
7	5981141067	5011150463	48	1620287476	2137	2	104	63	3	1844	1542	30	17	False	13107	DPC 2021 Season 2 Lower League (SEA) presented by PGL	8261554.0	Army Geniuses	8261197.0	Motivate.Trust Gaming
8	5981119850	5011130052	48	1620285964	1810	2	136	60	63	496	1974	28	24	True	12780	Moon Studio Asia 	8254145.0	Execration	8261500.0	Xtreme  Gaming
9	5981100581	5011110441	48	1620284881	1260	2	198	63	63	2046	1974	21	8	False	13107	DPC 2021 Season 2 Lower League (SEA) presented by PGL	8261554.0	Army Geniuses	8261197.0	Motivate.Trust Gaming
10	5981096443	5011107528	48	1620284165	1617	2	120	15	63	1574	1983	15	27	True	12929	i-联赛	4.0	EHOME	5.0	INVICTUS GAMING
11	5981064408	5011088090	48	1620281782	1839	2	186	63	48	1982	1792	38	12	False	12780	Moon Studio Asia 	8254145.0	Execration	8261500.0	Xtreme  Gaming
12	5981051534	5011077921	48	1620280797	2114	2	49	63	51	2036	1796	35	14	False	12929	i-联赛	4.0	EHOME	5.0	INVICTUS GAMING
13	5981049190	5011081878	48	1620280794	2427	2	271	63	0	1982	0	26	23	False	13107	DPC 2021 Season 2 Lower League (SEA) presented by PGL	8261197.0	Motivate.Trust Gaming	8261554.0	Army Geniuses
14	5981008349	5011049346	48	1620277682	2093	2	147	63	63	1568	1846	14	22	True	12780	Moon Studio Asia 	7408845.0	Execration	8261500.0	Xtreme  Gaming
